"EID","Title","DOI","Abstract","asreview_label_Valentin","asreview_label_Clara"
"2-s2.0-85209668993","Breathing in pollution, breathing out efficiency: how does air pollution affect labour productivity in China’s service sector?","10.1080/00036846.2024.2424501","This paper examines the impact of air pollution on labour productivity in the service industry in China. Utilizing the Chinese National Tax Survey Database and the contemporaneous air pollution data for 2007–2016, we employ an instrumental variable method and find that the average labour productivity for service firms decreases by 2.11% for every 1ug/m3 increase in PM2.5 concentration. The influence is more pronounced among producer services firms, non-state-owned firms, small-scale firms, and firms located in less environmentally regulated regions, northern regions, central and western regions, and coastal regions. The detrimental effect of air pollution increases as air quality worsens. Additionally, a 1ug/m3 increase in PM2.5 concentration leads to a significant 2.83% increase in overall labour costs, which squeezes out firms’ capital investment and distorts their factor structure. This paper contributes to the literature by providing new evidence on adverse impact of air pollution on labour productivity in the service sector. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",1,1
"2-s2.0-85161660307","Does air pollution decrease labor share? Evidence from China","10.1016/j.gloenvcha.2023.102706","Labor share is one of the most significant indicators for income distribution and social inequality. Many studies have documented its decline and provided explanations from various aspects in recent years. This study explores labor share decline through the lens of air pollution, which has been ignored in the literature. With the two-stage least square (2SLS) regression while using thermal inversion as an instrumental variable, we identify air pollution's impact on firm-level labor share. The results show an increase of 1 μg/m3 PM2.5 concentration leads to a 0.17 percentage point decrease in firms’ labor share. We test two possible channels through which air pollution could influence labor share. The decreases in firms’ labor and production productivity, and average wage are the main channels from the intensive margin. For extensive margin, we mainly focus on the impact on employees, and capital usage and identify its different effects across different technology firms. We find no significant effects on capital usage. Meanwhile, low-tech firms hire more employment to offset production loss due to air pollution, whereas there is no significant effect on employment change in high-tech firms. For heterogeneity, the impact is larger for private firms, firms with lower education-level employees, firms without labor unions, and labor-intensive industries. Our results suggest that raising public awareness of air pollution could have contributed to reducing health damage and social inequality. © 2023 Elsevier Ltd",1,1
"2-s2.0-85133877100","Labor Share in the Air: Who Bears More Production Efficiency Loss of Air Pollution?","10.15244/pjoes/147116","This paper provides a nationwide casual estimation of air pollution on labor share for the manufacturing industry in China from 1998 to 2015. Using changes in the annual intensity of thermal inversion as an instrument, we find that a 1μg/m3 increase in PM2.5 increases labor share by 4.01%-6.50% (about 0.02-0.04 in absolute value). Results show that although both labor income and capital income decrease, capital income decreases more which results in a labor share increase. The results also reveal that labor income change is primarily driven by labor productivity loss and effective labor decline, and the drastic drop of capital income results from the complementary relationship between capital and labor which is indicated by the elasticity of substitution. By describing labor share as wage–productivity gap, we find that wage does not decline enough to match productivity loss when air pollution happens. Although stricter environmental regulations may lead to a reduced labor share and further income inequality, the study suggests that the overall economic benefit will be enhanced. © 2022, HARD Publishing Company. All rights reserved.",1,1
"2-s2.0-85140920394","The Spatial Effect of Air Pollution Governance on Labor Productivity: Evidence from 262 Chinese Cities","10.3390/ijerph192013694","According to epidemiological studies, air pollution can increase the rate of medical visits and morbidity. Empirical studies have also shown that air pollutants are toxic to animals. Using data from 262 Chinese cities for the period 2005 to 2018, this study systematically investigated the spatial spillover effect and transmission mechanism of air pollution governance on urban labor productivity. In this study, we also explored the changing trend of labor productivity in China from a dynamic perspective. Additionally, we selected the air flow coefficient and environmental regulations as two instrumental variables of air pollution governance to effectively alleviate endogenous problems existing in the model. The results show that air pollution governance plays a significant role in promoting the improvement of labor productivity. The effect of air pollution governance on labor productivity in eastern cities is better than that in central and western cities, and its effect in developed cities is better than that in undeveloped cities. With the increased intensity of air pollution governance, its effect on labor productivity is also strengthened. Urban innovation capacity and residents’ health are important channels for air pollution governance in the promotion of labor productivity. Finally, this study proposes policy recommendations, such as implementing a joint prevention and governance mechanism, as well as improving air pollution prevention and government regulations. © 2022 by the authors.",1,1
"2-s2.0-105027979312","Air pollution as comparative disadvantage","10.1016/j.jpubeco.2025.105560","This paper is the first to examine the impact of air pollution on exporters’ comparative advantage in the global market and their ensuing strategic responses. Using comprehensive firm-product export data from China spanning 2000 to 2007 and exploiting exogenous variation in air pollution induced by thermal inversions for identification, we estimate a detrimental effect of increased air pollution on exports through its adverse impact on labor productivity. The effects are particularly pronounced for labor-intensive products, prompting firms to restructure their product scope away from labor-intensive varieties. Moreover, larger firms exhibit greater resilience to these adverse effects. The quantitative analysis demonstrates that improving air quality in China would significantly enhance its comparative advantage and aggregate welfare, while also benefiting the rest of the world. © 2026 Elsevier B.V.",1,0
"2-s2.0-105011872609","Air pollution, labor productivity, and individual consumption","10.1007/s00148-025-01117-z","This paper examines how air pollution affects consumption decisions through income and substitution channels by linking daily air pollution data with monthly records of individual consumption and labor productivity. Exploiting a quasi-experimental setting in a prison in Shenzhen City, China, we find that a 10-unit increase in the daily air pollution index reduces monthly consumption by 3.6%, with 78% of the effect explained by the income channel. The impact is heterogeneous across demographic groups and pollution levels. By jointly analyzing productivity and consumption responses, the paper contributes to a growing literature on the behavioral and economic consequences of environmental exposure. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",1,1
"2-s2.0-85146786107","Impact of air quality on enterprise productivity: Evidence from Chinese listed companies","10.3389/fenvs.2022.1095393","We provide insights and innovative ideas for China to achieve green development and promote high-quality economic development by studying the impact of air quality on enterprise productivity. This paper uses data from 2008 to 2016 for A-share companies listed on the Shanghai and Shenzhen stock markets, as well as the levels of particulate matter under 2.5 μm in diameter for 214 major Chinese cities. At the same time, this paper innovatively applies regression discontinuity and the Spatial Durbin Model for empirical testing. Considering the endogeneity, we choose the air flow index as an instrumental variable and the generalized space two-stage least squares method for the endogenous test. Additionally, we use dynamic regression and different spatial weight matrix to conduct robustness tests and reselect data from 2008 to 2012 and 2013 to 2016 as samples. Moreover, we test corporate heterogeneity from three perspectives: pollutant type, firm equity, and an industry’s technological level. The results show that the deterioration of local air quality significantly inhibits firm productivity, while the spatial spillover effects of pollution from surrounding cities also have a significant dampening effect on firm productivity. This negative effect is transmitted through research and development innovation capacity, human capital, and government subsidies. This empirical evidence from listed companies can be used for evaluating air quality management to enhance enterprise productivity, as well as to provide policy recommendations for boosting firm productivity through improved air quality. Copyright © 2023 Liu, Yang and Cai.",1,1
"2-s2.0-105011668451","Air pollution and labour productivity: firm-level spatial evidence from China","10.1088/2515-7620/adeceb","As environmental degradation increasingly threatens sustainable growth, understanding the impact of air pollution on firm performance has become a critical area of research. This study investigates the influence of delicate particulate matter (PM1) on labour productivity, utilising firm-level data from Chinese A-share listed companies and employing spatial econometric models alongside a bespoke firm-level spatial weight matrix. To address endogeneity issues, the temperature inversion variable is instrumental in ascertaining the causal effect of PM1 pollution. The findings indicate that PM1 significantly diminishes labour productivity in the affected firms, generating detrimental spatial spillover effects on neighbouring firms Additionally, further analysis of heterogeneity demonstrates that state-owned and labour-intensive enterprises exhibit reduced susceptibility to pollution shocks. In contrast, non-state-owned, technology-intensive, and capital-intensive firms experience more substantial losses in labour productivity. These insights emphasise the necessity to customise environmental policies and industrial support measures according to the distinctive characteristics of individual firms. © 2025 The Author(s). Published by IOP Publishing Ltd.",1,1
"2-s2.0-105016305574","More than particulates matter: Multiple pollutants and productivity in Indian call centers","10.1016/j.jeem.2025.103181","We measure the impact of three components of air pollution on daily labor productivity in call centers in five Indian cities. We find that a one standard deviation increase in fine particulate matter (PM2.5), a pollutant that has been the primary focus of the literature on the harms of air pollution, has a large negative effect of 0.15σ on an index of intensive margin productivity. Notably, we find a comparable negative effect for a one standard deviation increase in carbon monoxide (CO) of 0.14σ as well as a negative effect of 0.09σ from ozone (O3). For one of our main productivity variables, the number of calls per shift, one standard deviation increases in PM2.5, CO and O3 lead to declines relative to the mean of 11.8 %, 10.6 % and 6.0 %, respectively. In summing air pollution harms across our sample, CO is responsible for more than half of the total productivity lost, which is more than double the losses attributable to PM2.5. We then illustrate the potential productivity impacts of an existing national policy in India that targets PM2.5 compared to a counterfactual policy that also targets CO and O3. © 2025",1,1
"2-s2.0-85040119480","The effect of pollution on worker productivity: Evidence from call center workers in China","10.1257/app.20160436","We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker's daily output linked to daily measures of pollution and meteorology, we find that higher levels of air pollution decrease worker productivity. These results manifest themselves at levels of pollution commonly found in large cities throughout the developing and developed world. © 2019 American Economic Association.",1,1
"2-s2.0-85120624704","The labor productivity consequences of exposure to particulate matters: Evidence from a chinese national panel survey","10.3390/ijerph182312859","A growing body of literature has documented the negative impacts of air pollution on labor productivity, especially the effects of fine particulate matter. In this paper, we build on this literature by dissecting two channels of how particulate matter affects labor productivity: decreasing labor supply through damaging the physical functioning of the human body, and decreasing the marginal productivity of labor through damaging the cognitive functioning of the human brain. Using the household panel survey from the China Health and Nutrition Survey (CHNS) spanning 2000 to 2015 and combining that information with remotely sensed data on exposure to particulate matter (PM2.5), namely, the most harmful air pollution, we find a significantly negative effect of PM2.5 (instrumented by thermal inversion) on labor productivity. We also find that workers who are male, without a college degree, and are employed in outdoor occupations are mainly affected by PM2.5 through decreasing working hours, whereas college-educated workers employed in in-door occupations are mainly affected by PM2.5 through decreasing unit wages. We provide sug-gestive evidence that health impacts are behind our measured labor-productivity losses as we find significantly lower metrics in physical activity and increasing disease prevalence under higher exposure to PM2.5. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",1,1
"2-s2.0-85125018009","Productivity loss amid invisible pollution","10.1016/j.jeem.2022.102638","Ground-level ozone is a continuing problem worldwide, but there is insufficient research about the influence of ozone pollution on labor productivity in developing countries. Couriers are important for e-commerce and the rapidly developing express delivery industry around the world. Yet, due to their typical outdoor working environments, they are susceptible to the health effects of ozone pollution. We investigate the effect of ozone pollution on outdoor worker productivity in the service sector using a unique panel dataset of courier productivity from a top-five express delivery company in China. Using an instrumental variable constructed from ozone pollution of nearby upwind cities, we find that a 1 standard deviation increase in daily ozone pollution decreases courier productivity by 6.8%. The same increase in ozone over the previous 30 day period decreases worker productivity by 23.7%. Our findings emphasize an under-researched but important part of the socioeconomic costs of ozone pollution, and call for policy attention on the coordinated management of ozone pollution and particulate matters in developing countries. © 2022 Elsevier Inc.",1,1
"2-s2.0-85145803398","AIR POLLUTION AND MANUFACTURING FIRM PRODUCTIVITY: NATIONWIDE ESTIMATES FOR CHINA","10.1093/ej/ueab033","We provide nationwide causal estimates of air pollution's effect on short-run productivity for China's manufacturing sector from 1998 to 2007. Using thermal inversions as an instrument, a 1 μg/m3 decrease in PM2.5 increases productivity by 0.82% (elasticity of -0.44). Increased hiring attenuates the elasticity to -0.17. Differential effects of a trade shock on coastal versus inner regions imply a pollution elasticity of output of 1.43. Simulating a dynamic general-equilibrium model yields an output elasticity of -0.28 with respect to PM2.5. An exogenous 1% decrease in PM2.5 nationwide increases gross domestic product by 0.039%.  © 2021 Royal Economic Society.",1,1
"2-s2.0-84873304395","The impact of pollution on worker productivity","10.1257/aer.102.7.3652","[No abstract available]",1,1
"2-s2.0-84981313845","Particulate pollution and the productivity of pear packers","10.1257/pol.20150085","We study the effect of outdoor air pollution on the productivity of indoor workers at a pear-packing factory. Increases in fine particulate matter (PM2.5), a pollutant that readily penetrates indoors, leads to significant decreases in productivity, with effects arising at levels below air quality standards. In contrast, pollutants that do not travel indoors, such as ozone, have little, if any, effect on productivity. This effect of outdoor pollution on indoor worker productivity suggests an overlooked consequence of pollution. Back-of-the-envelope calculations suggest the labor savings from nationwide reductions in PM2.5 generated a sizable fraction of total welfare benefits.",1,1
"2-s2.0-78049488507","IAQ and worker productivity.","","[No abstract available]",1,1
"2-s2.0-85135506154","Air pollution and individual productivity: Evidence from the Ironman Triathlon results","10.1016/j.ehb.2022.101159","The study considers how air quality affects the productivity of physically intensive labor. Namely, we analyze the athletes of the Ironman Triathlon, one of the toughest long-distance triathlon races in the world. Moreover, in this competition, both men and women, professional and amateur athletes, can participate. We consider the results of Ironman Triathlon from 2005 to 2019. Using athlete's finishing time as a dependent variable, we estimate the impact of concentrations of two main air pollutants, O3 and PM2.5. We found triathletes performance decrements in swimming due to high ozone concentration and in bicycle riding and running due to high level of PM2.5. We have also found that professional athletes are less sensitive to air pollution, whereas there is almost no gender difference in the impact of air pollution on athletes’ productivity. © 2022 Elsevier B.V.",1,1
"2-s2.0-85040119562","Air pollution's hidden impacts","10.1126/science.aap7711","[No abstract available]",1,1
"2-s2.0-85175952897","Air pollution, weather, and agricultural worker productivity","10.1111/ajae.12439","Outdoor agricultural workers often work in harsh environmental conditions, including high temperatures and poor air quality. This paper studies how these factors impact worker productivity, which can have implications for worker health, well-being, and income as well as farm payroll, production, and profitability. Our analysis uses 6 years of payroll records of harvesters on two large farms combined with pollution and weather monitor data from multiple sources. We address simultaneity issues by exploring pollution measurements from nearby upwind and downwind monitors and incorporating an alternative PM2.5 measure that better captures ambient or regional concentration. Across all specifications, results suggest that heightened concentrations of ground-level ozone and PM2.5 are associated with reduced productivity. In our main specification, we find that one standard deviation increases in ozone and PM2.5 are associated with reductions in productivity of 2% and 1.1%, respectively. © 2023 The Authors. American Journal of Agricultural Economics published by Wiley Periodicals LLC on behalf of Agricultural & Applied Economics Association.",1,1
"2-s2.0-85188931706","Effects of atmospheric particulate pollution on lung function of athletes","10.1016/j.envres.2024.118763","There is a knowledge gap on how ground-level particulate pollution affects labor productivity in emerging nations due to a lack of study, especially when it comes to outdoor work settings like couriers in the express delivery industry. Combining findings from two research projects, this paper examines the socioeconomic consequences of particulate matter and ground-level particulate pollution. Special panel dataset from China's express delivery companies are used, we study how particulate pollution affects courier productivity. The instrumental variable of our analysis was built by particulate pollution data from upwind towns. Moreover, a comparable rise in particulate levels during the 30 days caused a significant 23.7% decline in worker productivity. This draws attention to a neglected area of the economic effects of particulate pollution, especially in underdeveloped countries. Our results also highlight the wider health hazards connected to outdoor activities in high-pollution locations, drawing comparisons on outdoor exercisers and particulate matter concentrations. The critical need for coordinated policy attention addressing both ground-level Particulate and particle matters in developing nations is highlighted by the increased risk of lung function impairment among outdoor exercisers owing to excessive particulate matter concentrations. The interrelated risks that air pollution poses to public health and economic productivity are clarified by this Comprehensive viewpoint. © 2024 Elsevier Inc.",1,1
"2-s2.0-105035169815","Ground-Level Ozone and Agricultural Productivity in China","10.1111/1467-8489.70106","Using a county-level dataset covering agricultural total factor productivity (TFP), crop yields, weather and ground-level air pollution from 2003 to 2015, this study investigates the effects of air pollution, specifically ozone (O3), on agricultural TFP. We find that O3 pollution is strongly associated with productivity losses, with each one-standard-deviation increase in O3 linked to a 33% reduction in TFP, far exceeding the negative impacts of other pollutants and temperature extremes. These adverse effects are primarily driven by declines in labour productivity, land productivity and crop yields and are further exacerbated by extreme temperatures. Between 2003 and 2015, agricultural TFP losses due to rising O3 pollution grew from 9.8% to 46.6%. As an adaptive response, farmers adjust production practices, particularly by increasing fertiliser use, to mitigate productivity losses. Our findings highlight the urgent need for integrated policies that address both air pollution and climate extremes to promote agricultural sustainability. © 2026 Australasian Agricultural and Resource Economics Society Inc.",1,0
"2-s2.0-85151703533","Does air pollution affect labour productivity in Indian manufacturing? Evidence from state-level data","10.1108/978-1-80382-577-920231014","Air pollution affects labour productivity and these effects arise in both indoor and outdoor environments and at varying levels of worker skill. They also arise at levels of air pollution generally considered to be within existing air quality standards and guidelines. Although the damage per individual is small when compared to more extreme events, such as mortality and hospitalisations, the effects are more widespread and may thus represent a significant cost to society. Labour is an essential element in every nation's economy serving as one of the primary factors of production and India not an exception. Investing in human capital is viewed as a key source of sustained increase in labour productivity and economic growth. On the other hand, environmental regulations are typically considered to be a struggle on the economy. However, improved environmental quality may actually enhance productivity by creating a healthier workforce. At the same time, air pollution may affect labour productivity and can reduce the productivity of workers in physically demanding occupations. This chapter may be an attempt to provide comprehensive estimates of the major air pollutants in different states of India and also tries to identify the linkage between air pollution and labour productivity in case of Indian manufacturing sector. © 2023 by Susobhan Maiti and Chandrima Chakraborty.",1,1
"2-s2.0-85058922371","Severe air pollution and labor productivity: Evidence from industrial towns in China","10.1257/app.20170286","                             We examine day-to-day fluctuations in worker-level output at two manufacturing sites in China. Ambient fine-particle (PM2.5) pollution is severe but significantly variable, largely due to exogenous atmospheric ventilation. We obtain an insignificant immediate output response from concurrent (same-shift) variation in particle pollution. We then allow worker outcomes to respond to day-to-day variation in pollution with up to 30 days of delay. We uncover statistically significant adverse output effects from more prolonged exposure, but effects are not large. A substantial + 10 μg/m                             3                              PM2.5 variation sustained over 25 days reduces daily output by 1 percent.                          © 2019 American Economic Association.",1,1
"2-s2.0-85123218182","Air pollution and the productivity of high-skill labor: evidence from court hearings*","10.1111/sjoe.12458","The influence of air pollution on cognitive productivity is a highly relevant and not fully understood economic issue. This study provides evidence of an adverse effect of exposure on the productivity of Mexican judicial workers. The empirical strategy approximates productivity with the length of the hearing and infers causality through instrumental variable panel models. Results show that air pollution decreases the productivity of judicial workers. For instance, increasing particulate matter by 10 units raises the length of hearings by 6.7 percent. Back-of-the-envelope calculations suggest that if particulate matter had been ten units lower, the sample of courthouses would have gained 81,712 minutes or roughly 56 work-days between 2015 and 2017. © 2021 The Authors. The Scandinavian Journal of Economics published by John Wiley & Sons Ltd on behalf of Föreningen för utgivande av the SJE.",1,1
"2-s2.0-85020393923","Correcting agglomeration economies: How air pollution matters","10.1111/pirs.12190","This paper aims to correct standard measures of agglomeration economies to account for air pollution. This paper examines the impact of nitrogen oxide (NOX) a pollutant mainly released by transportation on worker productivity. Literature on agglomeration economies highlights the positive role of employment density on productivity, without accounting for the negative impacts of local pollutants. First, standard estimates of agglomeration economies for the 304 French employment areas are in line with the literature. Then, we introduce the variable (NOX) emissions and, once pollution is accounted for, the estimated direct impact of agglomeration externalities on productivity are lower by more than 13 per cent. © 2015 The Author(s). Papers in Regional Science © 2015 RSAI",1,1
"2-s2.0-84947447744","Firm productivity, pollution, and output: theory and empirical evidence from China","10.1007/s11356-015-5020-7","Using a theoretical model, this paper argues that as firm productivity increases, there is a decrease in firm-level pollution intensity. However, as productivity increases, firms tend to increase their aggregate output, which requires the use of additional resources that increase pollution. Hence, an increase in productivity results in two opposing effects where increased productivity may in fact increase pollution created by a firm. We describe the joint effect of these two mechanisms on pollution emissions as the “productivity dilemma” of pollution emission. Based on firm-level data from China, we also empirically test this productivity dilemma hypothesis. Our empirical results suggest that, in general, firm productivity has a positive and statistically significant impact on pollution emission in China. However, the impact of productivity on pollution becomes negative when we control for increases in firm output. The empirical evidence also confirms the positive influence of productivity on output, which suggests that the main determinant of pollution is the firm’s output. The empirical results provide evidence of the existence of, what we describe as, the productivity dilemma of pollution emission. © 2015, Springer-Verlag Berlin Heidelberg.",1,0
"2-s2.0-105018121299","Heads up: Does air pollution cause workplace accidents?","10.1016/j.jpubeco.2025.105472","Literature has shown that air pollution can have short- and long-term adverse effects on physiological and cognitive performance. In this study, we estimate the effect of increased pollution levels on the likelihood of accidents at construction sites, a significant factor related to productivity losses in the labor market. Using data from all construction sites and pollution monitoring stations in Israel, we find a strong and significant causal effect of nitrogen dioxide (NO2), one of the primary air pollutants, on construction site accidents. We find that a 10-ppb increase in NO2 levels increases the likelihood of an accident by as much as 25 %. Importantly, our findings suggest that these effects are non-linear. While moderate pollution levels, according to EPA standards, compared to clean air levels, increase the likelihood of accidents by 138 %, unhealthy levels increase it by 377 %. We present a mechanism where the effect of pollution is exacerbated under conditions of high cognitive strain or reduced awareness. Finally, we perform a cost-benefit analysis, supported by a nonparametric estimation calculating the implied number of accidents due to NO2 exposure, and examine a potential welfare-improving policy to subsidize the closure of construction sites on highly polluted days. © 2025 The Authors",1,1
"2-s2.0-85087071072","The Effects of Pollution and Business Environment on Firm Productivity in Africa","10.1177/0160017620931572","In this article, we explore the links between city competitiveness and air pollution and business environment. Because competitive cities not only attract more productive firms but also facilitate their business, we choose to look at firm performance as a proxy for city competitiveness. We particularly focus on African firms because this region is developing fast, experiencing increasing pollution levels and the effects of agglomeration economies. We find two interesting results. First, the negative association between air pollution and firm performance can be seen at lower than expected levels of pollution. Second, the effects of capacity agglomeration on labor productivity growth are stronger compared to other regions. These findings suggest that cities in this region should address pollution issues soon, as they continue to grow fast and pollution levels are becoming an increasing concern. © The Author(s) 2020.",1,1
